il,ilce,skor,Kademe
Karaman,Kazımkarabekir,0.022,3. Kademe
Ankara,Kızılcahamam,0.022,3. Kademe
Rize,Fındıklı,0.018,3. Kademe
Diyarbakır,Bağlar,0.017,3. Kademe
Adana,Kozan,0.016,3. Kademe
Giresun,Tirebolu,0.014,3. Kademe
Kırklareli,Pınarhisar,0.002,3. Kademe
Sinop,Boyabat,-0.003,3. Kademe
Kırıkkale,Bahşili,-0.005,3. Kademe
Denizli,Buldan,-0.011,3. Kademe
Samsun,Çarşamba,-0.015,3. Kademe
Trabzon,Çaykara,-0.023,3. Kademe
Sakarya,Pamukova,-0.024,3. Kademe
Kütahya,Simav,-0.027,3. Kademe
Hatay,Payas,-0.028,3. Kademe
Hatay,Samandağ,-0.029,3. Kademe
Kırklareli,Vize,-0.032,3. Kademe
Isparta,Gönen,-0.034,3. Kademe
Burdur,Karamanlı,-0.034,3. Kademe
Yozgat,Sorgun,-0.038,3. Kademe
Zonguldak,Devrek,-0.038,3. Kademe
Sakarya,Geyve,-0.043,3. Kademe
Nevşehir,Avanos,-0.044,3. Kademe
Giresun,Görele,-0.045,3. Kademe
Afyonkarahisar,Bolvadin,-0.045,3. Kademe
Bitlis,Merkez,-0.046,3. Kademe
Çanakkale,Lapseki,-0.056,3. Kademe
Trabzon,Of,-0.06,3. Kademe
Denizli,Serinhisar,-0.064,3. Kademe
Hatay,Arsuz,-0.064,3. Kademe
Kastamonu,Tosya,-0.066,3. Kademe
Aydın,Çine,-0.07,3. Kademe
Hakkari,Merkez,-0.077,3. Kademe
Sakarya,Söğütlü,-0.077,3. Kademe
Kütahya,Gediz,-0.083,3. Kademe
Trabzon,Arsin,-0.083,3. Kademe
Osmaniye,Toprakkale,-0.084,3. Kademe
Isparta,Eğirdir,-0.087,3. Kademe
Afyonkarahisar,Dazkırı,-0.088,3. Kademe
Aydın,İncirliova,-0.091,3. Kademe
Bolu,Yeniçağa,-0.091,3. Kademe
Tokat,Erbaa,-0.097,3. Kademe
Düzce,Kaynaşlı,-0.099,3. Kademe
Isparta,Yalvaç,-0.1,3. Kademe
Ankara,Nallıhan,-0.102,3. Kademe
Bartın,Amasra,-0.102,3. Kademe
Sinop,Gerze,-0.106,3. Kademe
Isparta,Uluborlu,-0.113,3. Kademe
Manisa,Kula,-0.119,3. Kademe
Konya,Ilgın,-0.121,3. Kademe
Samsun,Havza,-0.124,3. Kademe
Konya,Kulu,-0.125,3. Kademe
Kırşehir,Kaman,-0.126,3. Kademe
Denizli,Çivril,-0.127,3. Kademe
Bitlis,Tatvan,-0.128,3. Kademe
Çankırı,Şabanözü,-0.13,3. Kademe
Nevşehir,Kozaklı,-0.13,3. Kademe
Afyonkarahisar,Dinar,-0.132,3. Kademe
Adıyaman,Gölbaşı,-0.133,3. Kademe
Düzce,Gümüşova,-0.134,3. Kademe
Samsun,Ondokuzmayıs,-0.137,3. Kademe
Balıkesir,Bigadiç,-0.138,3. Kademe
Kayseri,Develi,-0.139,3. Kademe
Sakarya,Ferizli,-0.139,3. Kademe
Ordu,Gülyalı,-0.145,3. Kademe
Isparta,Keçiborlu,-0.147,3. Kademe
Trabzon,Maçka,-0.15,3. Kademe
Antalya,Elmalı,-0.15,3. Kademe
Bilecik,Osmaneli,-0.154,3. Kademe
Gaziantep,Nizip,-0.157,3. Kademe
Konya,Cihanbeyli,-0.159,3. Kademe
Konya,Karapınar,-0.161,3. Kademe
Eskişehir,Sivrihisar,-0.163,3. Kademe
Denizli,Tavas,-0.165,3. Kademe
Artvin,Murgul,-0.165,3. Kademe
Giresun,Piraziz,-0.168,3. Kademe
Kastamonu,Seydiler,-0.169,3. Kademe
Tokat,Niksar,-0.169,3. Kademe
Zonguldak,Gökçebey,-0.17,3. Kademe
Zonguldak,Alaplı,-0.17,3. Kademe
Uşak,Eşme,-0.172,3. Kademe
Çankırı,Kurşunlu,-0.173,3. Kademe
Giresun,Espiye,-0.178,4. Kademe
Sivas,Şarkışla,-0.178,4. Kademe
Mersin,Mut,-0.179,4. Kademe
Antalya,Akseki,-0.182,4. Kademe
Tekirdağ,Hayrabolu,-0.182,4. Kademe
Afyonkarahisar,Emirdağ,-0.183,4. Kademe
Adana,Pozantı,-0.185,4. Kademe
Tokat,Zile,-0.186,4. Kademe
Mersin,Aydıncık,-0.186,4. Kademe
Rize,İyidere,-0.187,4. Kademe
Van,Tuşba,-0.19,4. Kademe
Manisa,Demirci,-0.192,4. Kademe
Manisa,Saruhanlı,-0.192,4. Kademe
Sinop,Türkeli,-0.194,4. Kademe
Çorum,Osmancık,-0.194,4. Kademe
Rize,Güneysu,-0.195,4. Kademe
Düzce,Çilimli,-0.196,4. Kademe
Zonguldak,Kilimli,-0.197,4. Kademe
Yozgat,Boğazlıyan,-0.197,4. Kademe
Edirne,Havsa,-0.198,4. Kademe
Mardin,Kızıltepe,-0.201,4. Kademe
Eskişehir,Çifteler,-0.202,4. Kademe
Samsun,Terme,-0.202,4. Kademe
Giresun,Şebinkarahisar,-0.204,4. Kademe
Hatay,Kırıkhan,-0.206,4. Kademe
Kayseri,Yeşilhisar,-0.209,4. Kademe
Mersin,Bozyazı,-0.211,4. Kademe
Nevşehir,Hacıbektaş,-0.211,4. Kademe
Aksaray,Ortaköy,-0.212,4. Kademe
Sivas,Divriği,-0.218,4. Kademe
Manisa,Kırkağaç,-0.219,4. Kademe
Aydın,Kuyucak,-0.224,4. Kademe
Kastamonu,Bozkurt,-0.225,4. Kademe
Kütahya,Dumlupınar,-0.226,4. Kademe
Çanakkale,Bayramiç,-0.229,4. Kademe
Ağrı,Merkez,-0.231,4. Kademe
Denizli,Bekilli,-0.231,4. Kademe
Denizli,Çal,-0.232,4. Kademe
Çankırı,Çerkeş,-0.232,4. Kademe
Konya,Çumra,-0.233,4. Kademe
Kocaeli,Kandıra,-0.235,4. Kademe
Kastamonu,İnebolu,-0.236,4. Kademe
Denizli,Çardak,-0.236,4. Kademe
Düzce,Cumayeri,-0.237,4. Kademe
Giresun,Keşap,-0.24,4. Kademe
Hatay,Erzin,-0.24,4. Kademe
Trabzon,Araklı,-0.24,4. Kademe
Çorum,Sungurlu,-0.243,4. Kademe
Bolu,Mengen,-0.245,4. Kademe
Yozgat,Çandır,-0.246,4. Kademe
Isparta,Şarkikaraağaç,-0.249,4. Kademe
Çankırı,Ilgaz,-0.249,4. Kademe
Sakarya,Kocaali,-0.253,4. Kademe
Samsun,Ladik,-0.26,4. Kademe
Uşak,Ulubey,-0.261,4. Kademe
Antalya,İbradı,-0.264,4. Kademe
Uşak,Banaz,-0.264,4. Kademe
Aydın,Sultanhisar,-0.265,4. Kademe
Amasya,Gümüşhacıköy,-0.269,4. Kademe
Osmaniye,Düziçi,-0.269,4. Kademe
Rize,Hemşin,-0.27,4. Kademe
Karaman,Ermenek,-0.275,4. Kademe
Erzincan,Kemaliye,-0.276,4. Kademe
Mersin,Gülnar,-0.278,4. Kademe
Sivas,Suşehri,-0.28,4. Kademe
Kırşehir,Mucur,-0.281,4. Kademe
Aydın,Germencik,-0.282,4. Kademe
Edirne,Enez,-0.284,4. Kademe
Edirne,Süloğlu,-0.285,4. Kademe
Kırklareli,Demirköy,-0.286,4. Kademe
Rize,Çamlıhemşin,-0.287,4. Kademe
Artvin,Yusufeli,-0.29,4. Kademe
Artvin,Borçka,-0.29,4. Kademe
Manisa,Ahmetli,-0.292,4. Kademe
Aydın,Buharkent,-0.293,4. Kademe
Kayseri,İncesu,-0.295,4. Kademe
Aydın,Yenipazar,-0.296,4. Kademe
İzmir,Kınık,-0.297,4. Kademe
Kütahya,Emet,-0.299,4. Kademe
Isparta,Atabey,-0.299,4. Kademe
Manisa,Sarıgöl,-0.3,4. Kademe
Bilecik,Pazaryeri,-0.301,4. Kademe
Erzincan,İliç,-0.301,4. Kademe
Osmaniye,Bahçe,-0.302,4. Kademe
Muş,Merkez,-0.303,4. Kademe
Balıkesir,Manyas,-0.303,4. Kademe
Tunceli,Hozat,-0.304,4. Kademe
İzmir,Bayındır,-0.304,4. Kademe
Aydın,Köşk,-0.306,4. Kademe
Kahramanmaraş,Afşin,-0.307,4. Kademe
Eskişehir,Seyitgazi,-0.31,4. Kademe
Denizli,Bozkurt,-0.311,4. Kademe
Niğde,Ulukışla,-0.314,4. Kademe
Kastamonu,Taşköprü,-0.319,4. Kademe
Kayseri,Özvatan,-0.325,4. Kademe
Burdur,Tefenni,-0.325,4. Kademe
Afyonkarahisar,Çay,-0.328,4. Kademe
Samsun,Kavak,-0.331,4. Kademe
Şırnak,Merkez,-0.333,4. Kademe
Burdur,Yeşilova,-0.336,4. Kademe
Çorum,Alaca,-0.339,4. Kademe
Trabzon,Çarşıbaşı,-0.34,4. Kademe
Muğla,Kavaklıdere,-0.34,4. Kademe
Giresun,Eynesil,-0.35,4. Kademe
Sakarya,Kaynarca,-0.351,4. Kademe
Eskişehir,Mahmudiye,-0.351,4. Kademe
Edirne,Lalapaşa,-0.351,4. Kademe
