ilan_id,oda_sayisi,banyo_sayisi,kat_sayisi,isinma_tipi,cephe,kullanim_durumu
0-19864315,1 + 1,1.0,26 Katlı,Merkezi,Güney,Boş
128752-1341,4 + 1,1.0,4 Katlı,Soba,"Güney, Doğu, Batı",Boş
112892-796,1 + 1,1.0,3 Katlı,Kombi,"Kuzey, Batı",Kiracılı
104770-7188,1 + 1,1.0,7 Katlı,Kombi,"Güney, Doğu",Boş
104770-7192,1 + 1,1.0,7 Katlı,Kombi,"Güney, Doğu",Boş
104770-7180,2 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
95132-311,1 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Kiracılı
4245-9609,2 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı
123186-310,2 + 1,2.0,8 Katlı,Merkezi (Pay Ölçer),"Doğu, Batı",Boş
111639-430,3 + 1,1.0,5 Katlı,Kombi,Güney,Mülk Sahibi
138452-90,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney",Mülk Sahibi
140966-116,2 + 1,1.0,5 Katlı,Merkezi,Batı,Kiracılı
136338-537,3 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",
140174-228,2 + 1,1.0,4 Katlı,Soba,"Güney, Batı",Kiracılı
152464-20,1 + 1,1.0,4 Katlı,Kombi,Güney,
76431-1509,1 + 0,1.0,11 Katlı,Klima,Güney,
124986-129,3 + 1,1.0,5 Katlı,Soba,"Kuzey, Batı",Boş
141297-135,1 + 1,1.0,5 Katlı,Kombi,"Güney, Batı",Boş
128355-1998,1 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Mülk Sahibi
118048-216,2 + 1,1.0,5 Katlı,Kombi,Güney,Kiracılı
152464-14,1 + 1,1.0,5 Katlı,Kombi,Güney,Kiracılı
0-44409659,1 + 1,1.0,4 Katlı,Kombi,Güney,Kiracılı
67657-258,1 + 0,1.0,1 Katlı,Merkezi (Pay Ölçer),Güney,Kiracılı
104770-7187,2 + 1,2.0,6 Katlı,Kombi,"Güney, Doğu",Boş
153865-23,1 + 1,1.0,4 Katlı,Klima,"Güney, Doğu",Mülk Sahibi
139786-985,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
154473-70,2 + 1,1.0,4 Katlı,Kombi,Güney,Boş
123865-574,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Doğu, Batı",Mülk Sahibi
140021-194,2 + 1,1.0,5 Katlı,Kombi,Güney,Boş
132721-613,3 + 1,1.0,12 Katlı,Isıtma Yok,"Kuzey, Güney, Doğu",Boş
151190-11,1 + 0,1.0,4 Katlı,Kombi,Güney,Kiracılı
65534-590,2 + 1,1.0,3 Katlı,Soba,"Kuzey, Batı",Boş
121775-423,1 + 0,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
27954-951,2 + 1,1.0,5 Katlı,Kombi,Güney,Boş
141447-7,2 + 1,1.0,4 Katlı,Kombi,"Doğu, Batı",Kiracılı
123335-111,1 + 1,1.0,4 Katlı,Kombi,"Doğu, Batı",Boş
104770-7182,1 + 1,1.0,7 Katlı,Kombi,"Güney, Doğu",Boş
135662-691,1 + 0,1.0,5 Katlı,Kombi,"Güney, Doğu",Boş
104770-7179,1 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
128752-1448,3 + 1,1.0,4 Katlı,Kombi,Batı,Belirtilmemiş
129755-564,2 + 1,2.0,4 Katlı,Kombi,"Güney, Doğu",Boş
128844-666,2 + 1,1.0,5 Katlı,Doğalgaz Sobası,Batı,Kiracılı
129202-927,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu, Batı",Boş
95182-185,3 + 1,1.0,4 Katlı,Soba,"Kuzey, Doğu",Boş
131265-462,1 + 0,1.0,11 Katlı,Kombi,Güney,Boş
121490-340,2 + 1,2.0,5 Katlı,Kombi,"Güney, Batı",Boş
121916-833,2 + 1,1.0,4 Katlı,Klima,Güney,Kiracılı
123089-262,1 + 1,1.0,3 Katlı,Soba,"Doğu, Batı",Boş
67646-462,1 + 1,1.0,3 Katlı,Kombi,"Kuzey, Doğu",Boş
141198-52,1 + 1,1.0,5 Katlı,Soba,"Kuzey, Güney, Batı",Kiracılı
129391-391,2 + 1,1.0,6 Katlı,Kombi,"Kuzey, Güney",Kiracılı
117361-1096,2 + 1,1.0,3 Katlı,Kombi,"Kuzey, Güney, Doğu",Boş
111753-2340,2 + 1,1.0,5 Katlı,Kombi,"Güney, Doğu",Boş
39637-11350,1 + 0,1.0,10 Katlı,Klima,"Kuzey, Batı",
121490-336,1 + 1,1.0,20 Katlı,Kombi,Güney,Kiracılı
0-42710726,2 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Boş
119580-99,1 + 1,1.0,4 Katlı,Kombi,Güney,Boş
133699-549,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu",Mülk Sahibi
120194-1433,1 + 1,1.0,2 Katlı,Klima,"Doğu, Batı",Mülk Sahibi
26735-2147,2 + 1,1.0,2 Katlı,Kombi,"Güney, Doğu, Batı",Boş
138321-455,1 + 1,1.0,4 Katlı,Kombi,Güney,Boş
144260-30,2 + 1,1.0,4 Katlı,Kombi,Güney,
155713-14,1 + 1,1.0,3 Katlı,Kombi,"Güney, Doğu",Boş
104770-7208,2 + 1,1.0,6 Katlı,Kombi,"Güney, Doğu",Boş
129202-824,1 + 1,1.0,11 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
150244-121,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı
111300-492,1 + 1,1.0,5 Katlı,Klima,Batı,Boş
148635-76,3 + 1,1.0,4 Katlı,Merkezi (Pay Ölçer),Güney,Kiracılı
133699-516,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Batı",Mülk Sahibi
138315-9,1 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu, Batı",Kiracılı
138315-103,1 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Boş
138315-104,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
92033-1034,1 + 1,1.0,5 Katlı,Isıtma Yok,Güney,Boş
120617-446,2 + 0,1.0,5 Katlı,Merkezi (Pay Ölçer),"Kuzey, Batı",Kiracılı
139786-2394,3 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu, Batı",Boş
155585-40,1 + 1,1.0,3 Katlı,Kombi,"Güney, Batı",Boş
155585-18,1 + 1,1.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
147535-573,2 + 1,1.0,4 Katlı,Soba,"Kuzey, Güney",Kiracılı
55352-6716,2 + 1,1.0,5 Katlı,Kombi,"Kuzey, Batı",Kiracılı
83224-320,2 + 1,1.0,4 Katlı,Soba,Doğu,Boş
64203-1050,2 + 1,1.0,3 Katlı,Kombi,Batı,Boş
139786-2248,2 + 1,1.0,3 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
155610-91,1 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Kiracılı
145508-72,1 + 1,1.0,3 Katlı,Kombi,Güney,Kiracılı
111753-2261,2 + 1,2.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
131206-1660,2 + 1,1.0,3 Katlı,Soba,Güney,Boş
148290-550,1 + 1,1.0,4 Katlı,Klima,Doğu,Kiracılı
112628-2072,3 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
148290-436,2 + 1,1.0,2 Katlı,Klima,"Kuzey, Güney",Kiracılı
130012-171,2 + 1,1.0,4 Katlı,Kombi,"Güney, Doğu",Boş
114614-1759,2 + 1,1.0,3 Katlı,Soba,"Kuzey, Güney, Doğu",Boş
141068-331,3 + 1,1.0,3 Katlı,Soba,Kuzey,Kiracılı
151605-39,1 + 1,1.0,4 Katlı,Kombi,Güney,Kiracılı
136424-478,3 + 1,1.0,6 Katlı,Kombi,"Kuzey, Güney",Boş
117773-286,3 + 1,1.0,4 Katlı,Kombi,"Kuzey, Doğu",Mülk Sahibi
94283-571,1 + 0,1.0,3 Katlı,Merkezi,"Güney, Doğu",Kiracılı
60929-268,3 + 1,1.0,4 Katlı,Kombi,"Güney, Batı",Mülk Sahibi
133679-2465,4 + 1,1.0,6 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Kiracılı
0-41910014,2 + 1,1.0,4 Katlı,Kombi,Kuzey,Kiracılı
127933-758,3 + 1,1.0,6 Katlı,Kombi,"Kuzey, Doğu, Batı",Kiracılı
30863-9188,1 + 1,1.0,5 Katlı,Kombi,"Kuzey, Güney, Batı",Kiracılı
111753-1916,2 + 1,2.0,4 Katlı,Kombi,"Kuzey, Güney, Doğu, Batı",Boş
111966-2890,2 + 1,1.0,3 Katlı,Kombi,Batı,Mülk Sahibi
128336-2282,2 + 1,1.0,3 Katlı,Kombi,"Güney, Batı",Kiracılı
60929-827,1 + 1,1.0,3 Katlı,Kombi,Güney,Boş
